reconstruction_loss,quantization_name,beta,encoder offset,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,codebook offset,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MSELoss,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MSELoss,best/codebook_entropy
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,0.0,0.0042731622233986855,6.086969375610352,0.0005618123686872423,0.0005618123686872423,0.0,0.0,0.0,0.0,0.004197893664240837,6.044445037841797
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,0.0,0.004312907345592976,6.0687079429626465,0.0005487641901709139,0.0005487641901709139,0.0,0.0,0.0,0.0,0.004307059571146965,6.085380554199219
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,1.0,0.004399396944791079,6.071899890899658,0.0005755301099270582,0.0005755301099270582,0.0,0.0,0.0,0.0,0.004287317395210266,6.069916725158691
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,1.0,0.004301290027797222,6.082107067108154,0.0005671955877915025,0.0005671955877915025,0.0,0.0,0.0,0.0,0.004235538188368082,6.073625564575195
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,1.0,0.00430059339851141,6.075822830200195,0.0005570940556935966,0.0005570940556935966,0.0,0.0,0.0,0.0,0.004289976321160793,6.069579124450684
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,2.0,0.005266379099339247,6.027560710906982,0.0005472683697007596,0.0005472683697007596,0.0,0.0,0.0,0.0,0.004246254917234182,6.066159248352051
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,2.0,0.004339464008808136,6.083817958831787,0.0005977943073958158,0.0005977943073958158,0.0,0.0,0.0,0.0,0.0042881122790277,6.056097507476807
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,2.0,0.004297507461160421,6.046825408935547,0.000553607998881489,0.000553607998881489,0.0,0.0,0.0,0.0,0.00429324759170413,6.071225166320801
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,3.0,0.004353297874331474,6.031154155731201,0.0005584845202974975,0.0005584845202974975,0.0,0.0,0.0,0.0,0.004283440299332142,6.0478949546813965
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,3.0,0.004767555743455887,5.813157081604004,0.0008321113418787718,0.0008321113418787718,0.0,0.0,0.0,0.0,0.004767555743455887,5.813157081604004
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,3.0,0.004399946425110102,6.062721252441406,0.000578961567953229,0.000578961567953229,0.0,0.0,0.0,0.0,0.004337889142334461,6.071734428405762
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,4.0,0.00463910074904561,5.851376533508301,0.0008135544485412538,0.0008135544485412538,0.0,0.0,0.0,0.0,0.004638750106096268,5.847421646118164
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,4.0,0.0059693315997719765,6.019872665405273,0.0005569588975049555,0.0005569588975049555,0.0,0.0,0.0,0.0,0.004339986946433783,6.022135257720947
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,4.0,0.007752454373985529,4.34832239151001,0.00020195738761685789,0.00020195738761685789,0.0,0.0,0.0,0.0,0.007686316501349211,4.346611499786377
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,5.0,0.005033296998590231,5.506345272064209,0.0011454701889306307,0.0011454701889306307,0.0,0.0,0.0,0.0,0.0049667200073599815,5.503118515014648
